ArticleId,Text,Category
1243,new yuko owner russia oil firm sold sunday specul financ group emerg winner agre pay russia newspap claim front expect win sale yuko owner said sold best author made christma present russia oil compani news agenc mr say via lawyer expect win thought fail get financ deal us court take part last week yuko file 11 bankruptci protect us attempt account us judg ban take part intern bank provid firm cash financ said analyst money around deni behind front said analyst know compani link 100 tri find far know paper result sale howev bought time rais money need analyst said one pay two week time put back hand back within reach yuko plan let go unit without fight legal action yuko main sharehold group also legal action yuko claim polit face fraud charg hit tax fine mani say break firm account 20 russia oil,business
21,secur warn viru us feder investig warn comput viru via email email show come address tell access illeg websit messag warn internet use monitor internet fraud email viru said messag ask answer question internet use rather viru comput accord agenc clear viru comput user warn never open email peopl know similar know send email public said statement investig email agenc earlier month account use commun public secur said two appear,tech
391,stori becom film life late singer made film announc product call book form film music toni head record compani sign produc commit age band due go tour us mr remain friend say ask involv make film offici peopl differ idea commit film reflect differ view told bbc news websit plan film announc film festiv earlier year project get ground fail get back famili mr also involv band new order well happi monday said would rather appear film made appear 24 hour parti peopl lead role play actor job play part 24 hour parti peopl said record associ manchest music sinc film peopl music hope one work much music want real stori said film direct made music movi produc us product compani also execut produc,entertainment
520,success labour propos give member famili right would end right would also ban govern refus back lord success bill say rais mani issu lord chancellor lord agre act govern success ad effect limit chang propos lord controversi rais major issu said lord said member famili line success wale act matter form form ad rule chang futur said lord privat member bill pass would mp common lord agre bill second read hous lord govern think later stage say want chang thing difficult told debat labour former minist said valu countri want situat valu countri move behind time sure ground sure also bill includ tori lord campbel michael said would state england state would less argu,politics
1337,west end honour show west end honour star show even standard theatr award london monday produc star best music ceremoni nation theatr compet thing happen way award martin histori best play categori nomin best actress best known televis role programm may made role fall leav court theatr meanwhil richard play histori nation theatr battl best actor award show citi best director includ measur measur also best design categori paul paul brown award present domin histori david fight charl award 000 three special award also present individu,entertainment
1723,former boss pay 000 chief step post april 2004 firm final left firm decemb spent time special chief execut januari 2004 told investor 20 thought said line ms contract leav agreement career opportun firm said statement sever mean keep share fail collect 2003 plan sinc firm fail meet target includ inflat led chairman sir product chief investig commiss found ms share respons compani despit receiv email mr de said firm market investig said noth four time 2003 septemb paid fine side market rule report,business
690,film award oscar hope mike winner 2004 even standard british film award name best film play titl role name best actress winner includ best actor role man jone reason name even standard film 2004 central london ceremoni present winner award announc ceremoni sunday night even standard film critic said never made film better control secur one film year know special award honour made british film went work titl film product compani behind film jone reason star 2004 peter award comedi winner includ press name london promis award perform stori summer love best achiev award ceremoni includ charl bill award host screen london tuesday,entertainment
1190,call action internet phone compani enough warn custom internet accord phone line receiv 000 recent month internet connect rate number without user phone compani refus pay say call must paid must warn peopl earlier possibl fraud said peopl use connect affect without program download internet call via phone line victim often fail receiv high bill spokesman said phone compani get custom bill month want know away want told hit phone compani system place activ said number investig look number ad franc said would surpris find credit card compani phone someth would expect phone compani look see similar approach biggest phone compani bt say monitor fraud warn peopl custom use call want call line current system call made littl done group manag director bt consum said look custom call make look moment whether improv bt million call day monitor quit ad govern order line servic like say power deal futur moment demand custom close illeg servic use free softwar free protect tool access call caus love music site inform custom respons fall custom mani fall simpli know avoid issu alway busi one know happen fraud commit phone compani pay peopl money peopl follow download site offer illeg softwar peopl visit site less risk happen person respons seem everyon victim day part rest manufactur home comput oper system secur system allow web email download anyth without user illeg compani noth refus pay money receiv good return interest keep go bt number turn custom fall refus pay provid call provid insist pay bill would commit fraud custom yet taken court refus pay bill use broadband instead noth worri buy softwar would without would drive car without protect pc stop phone compani impress phone compani recent number next day rang back ask call number great servic got well victim inform phone compani put rate number three month later anoth huge bill 000 came work still pay even though place phone compani probabl quit happi custom hit huge bill take extra step problem oper noth add injuri charg govern rate number ever sinc one exampl would set rate number day night phone whose bill never paid compani victim know peopl run larg bill despit talk bt believ give free stop number without know phone compani last someth time profit phone compani came end away bring broadband price thing also allow peopl secur victim think point major peopl tri access servic provid free case user probabl compani inform bill simpli bill particularli govern profit crime loss say rate call would provid way could use rate number limit least amount would limit far oper write year back also target alreadi broadband noth connect sound attempt connect home user take respons ensur softwar date major,tech
1790,us tv special tsunami us televis network screen celebr tv special benefit tsunami effort south show featur music perform 15 januari actress 000 american actor pledg aid meanwhil music movi star world rais fund song releas singl play friday aid victim box day disast around 000 peopl five million left without indian sent commun 11 countri unit nation warn number disast could rise aid yet reach area perform yet confirm aid benefit later month follow carri four major us televis network 10 day 11 septemb terror attack 2001 america rais help victim attack world trade,entertainment
1013,target new labour mp stand war labour mp next gener elect mr thursday 000 damag said would contest london respect mp labour iraq war accus ms new labour ms said chanc take mr mr current set plan chang scotland mp launch respect januari 1 000 associ britain parti aim end iraq law end speak london mr said accept parti stand great honour ad new labour mp song make speech anyth told toni blair affect feel ms repres sinc said given chanc finish mr believ know mani peopl around countri least scotland june european parliament elect respect fail gain enough vote come first common month later gain council seat mr said next year expect gener elect local elect year later parti would turn end london conserv liber democrat make almost half mr newspap claim receiv money iraq newspap said public interest publish claim base found mr said mr make award,politics
